# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.834335581811e-10       6.389551818600e-14      -1.483207231177e-12       0.000000000000e+00       1.847178878696e-11       2.385812010040e-12      -1.146654667921e-14 
   82       2.869406080752e-10       6.588881570599e-14      -1.557821290925e-12       0.000000000000e+00       1.791908082799e-11       2.324335657868e-12      -1.143161365581e-14 
   83       2.904828205715e-10       6.789353080180e-14      -1.633565084625e-12       0.000000000000e+00       1.738745699927e-11       2.265354076630e-12      -1.120105001661e-14 
   84       2.940589376051e-10       6.990778251461e-14      -1.710343285050e-12       0.000000000000e+00       1.687610089198e-11       2.208964238605e-12      -1.088797023448e-14 
   85       2.976658265817e-10       7.192979435809e-14      -1.788034750151e-12       0.000000000000e+00       1.638409477586e-11       2.155132399168e-12      -1.065747883769e-14 
   86       3.013008864711e-10       7.395782590207e-14      -1.866543195646e-12       0.000000000000e+00       1.591037076497e-11       2.103711840472e-12      -1.063494440663e-14 
   87       3.049656316076e-10       7.599045714090e-14      -1.945902322172e-12       0.000000000000e+00       1.545423626577e-11       2.054182132212e-12      -1.072923851938e-14 
   88       3.086626490111e-10       7.802635019305e-14      -2.026187481932e-12       0.000000000000e+00       1.501491152832e-11       2.005865053703e-12      -1.078156550773e-14 
   89       3.123939384204e-10       8.006430028536e-14      -2.107462778653e-12       0.000000000000e+00       1.459149292105e-11       1.958231818969e-12      -1.066222816201e-14 
   90       3.161590801015e-10       8.210366599672e-14      -2.189712382126e-12       0.000000000000e+00       1.418336917404e-11       1.911638516076e-12      -1.041046010681e-14 
   91       3.199567691247e-10       8.414400921632e-14      -2.272899038681e-12       0.000000000000e+00       1.378985308771e-11       1.866701801886e-12      -1.011584345463e-14 
   92       3.237855221916e-10       8.618470537617e-14      -2.356973986346e-12       0.000000000000e+00       1.341017567638e-11       1.823913831406e-12      -9.855615577225e-15 
   93       3.276442073292e-10       8.822410837164e-14      -2.441842499979e-12       0.000000000000e+00       1.304389029275e-11       1.783122255563e-12      -9.628992198130e-15 
   94       3.315315699717e-10       9.026026428288e-14      -2.527393136303e-12       0.000000000000e+00       1.269051621476e-11       1.743972474535e-12      -9.413248674558e-15 
   95       3.354460579295e-10       9.229116384602e-14      -2.613508008389e-12       0.000000000000e+00       1.234940872902e-11       1.706063320534e-12      -9.183540318690e-15 
   96       3.393863763927e-10       9.431455467051e-14      -2.700067134329e-12       0.000000000000e+00       1.201987364447e-11       1.669040844566e-12      -8.920514943382e-15 
   97       3.433532696736e-10       9.632734742421e-14      -2.786962478899e-12       0.000000000000e+00       1.170154238306e-11       1.632898369578e-12      -8.634544219748e-15 
   98       3.473479798835e-10       9.832612190410e-14      -2.874085738215e-12       0.000000000000e+00       1.139404120330e-11       1.597717796411e-12      -8.344936966539e-15 
   99       3.513717000844e-10       1.003073039504e-13      -2.961323982176e-12       0.000000000000e+00       1.109687166473e-11       1.563578122934e-12      -8.072624747553e-15 
  100       3.554251695621e-10       1.022677158651e-13      -3.048577825261e-12       0.000000000000e+00       1.080949455724e-11       1.530541965233e-12      -7.835560517451e-15 
  101       3.595074032834e-10       1.042063217792e-13      -3.135818991790e-12       0.000000000000e+00       1.053160419583e-11       1.498613367017e-12      -7.634089419846e-15 
  102       3.636167761517e-10       1.061227230628e-13      -3.223040738211e-12       0.000000000000e+00       1.026288496957e-11       1.467773697817e-12      -7.463592793877e-15 
  103       3.677513994022e-10       1.080166306833e-13      -3.310240482922e-12       0.000000000000e+00       1.000292352669e-11       1.437994077431e-12      -7.318933762573e-15 
  104       3.719095603962e-10       1.098875020089e-13      -3.397403246259e-12       0.000000000000e+00       9.751276145302e-12       1.409224442420e-12      -7.194989993726e-15 
  105       3.760911282951e-10       1.117333872110e-13      -3.484449101180e-12       0.000000000000e+00       9.507688007109e-12       1.381359804954e-12      -7.088364079742e-15 
  106       3.802963230313e-10       1.135519333394e-13      -3.571278869242e-12       0.000000000000e+00       9.271897799129e-12       1.354268773038e-12      -6.995879197955e-15 
  107       3.845252801438e-10       1.153407371238e-13      -3.657790162134e-12       0.000000000000e+00       9.043567480424e-12       1.327803277700e-12      -6.914045104945e-15 
  108       3.887778706100e-10       1.170974455839e-13      -3.743884399444e-12       0.000000000000e+00       8.822335554285e-12       1.301844252181e-12      -6.839633874460e-15 
  109       3.930531416433e-10       1.188200733191e-13      -3.829488975344e-12       0.000000000000e+00       8.607989891057e-12       1.276446426251e-12      -6.771509553315e-15 
  110       3.973497957566e-10       1.205067262607e-13      -3.914537928705e-12       0.000000000000e+00       8.400313072628e-12       1.251711620018e-12      -6.709023030099e-15 
  111       4.016663552446e-10       1.221555052582e-13      -3.998965186194e-12       0.000000000000e+00       8.199026959036e-12       1.227744299215e-12      -6.651447604230e-15 
  112       4.060014484407e-10       1.237645746610e-13      -4.082704656453e-12       0.000000000000e+00       8.003833830588e-12       1.204609952006e-12      -6.597306727841e-15 
  113       4.103547212142e-10       1.253323762079e-13      -4.165690445584e-12       0.000000000000e+00       7.814549577481e-12       1.182204252374e-12      -6.542265549408e-15 
  114       4.147260303050e-10       1.268574436077e-13      -4.247856739301e-12       0.000000000000e+00       7.630983942086e-12       1.160367382751e-12      -6.480969142898e-15 
  115       4.191151590741e-10       1.283383385314e-13      -4.329137786431e-12       0.000000000000e+00       7.452897671120e-12       1.138923814759e-12      -6.407680727603e-15 
