# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   50       1.893169331457e-10       1.575902205730e-14       8.021560824693e-14       0.000000000000e+00       5.672873916606e-11       6.125985825037e-12      -1.186500187647e-14 
   51       1.919160939496e-10       1.678145294864e-14       5.469342598042e-14       0.000000000000e+00       5.433195221406e-11       5.887683140239e-12      -1.093731842253e-14 
   52       1.945902517417e-10       1.784298567799e-14       2.717645864069e-14       0.000000000000e+00       5.206819778609e-11       5.671010367230e-12      -9.566667553853e-15 
   53       1.972910505582e-10       1.894391638485e-14      -2.143454637146e-15       0.000000000000e+00       4.992909856048e-11       5.469966447329e-12      -8.004647373501e-15 
   54       1.999621471769e-10       2.008417445737e-14      -3.306261457869e-14       0.000000000000e+00       4.790507364815e-11       5.275666892930e-12      -6.548844024074e-15 
   55       2.026563493861e-10       2.126325838018e-14      -6.561232627856e-14       0.000000000000e+00       4.598919267969e-11       5.088396161970e-12      -5.390223884198e-15 
   56       2.054346483969e-10       2.248043248313e-14      -9.984538367696e-14       0.000000000000e+00       4.417358943150e-11       4.910941244116e-12      -4.672939549840e-15 
   57       2.082430337039e-10       2.373478113266e-14      -1.356066181168e-13       0.000000000000e+00       4.245226575096e-11       4.745890307679e-12      -4.421370949964e-15 
   58       2.110168758216e-10       2.502552418966e-14      -1.727355146437e-13       0.000000000000e+00       4.081843508947e-11       4.594091639097e-12      -4.620369329124e-15 
   59       2.138080414029e-10       2.635302658255e-14      -2.113538183764e-13       0.000000000000e+00       3.926707412094e-11       4.449030431845e-12      -5.238589996277e-15 
   60       2.166800987936e-10       2.771798040016e-14      -2.516410783208e-13       0.000000000000e+00       3.779255183097e-11       4.303709979529e-12      -6.198511697435e-15 
   61       2.195901429755e-10       2.912099148171e-14      -2.936387027398e-13       0.000000000000e+00       3.639049863745e-11       4.160491699135e-12      -7.264269191456e-15 
   62       2.224827598715e-10       3.056229932968e-14      -3.373585103222e-13       0.000000000000e+00       3.505602347063e-11       4.023891353396e-12      -8.177321014916e-15 
   63       2.253938814301e-10       3.204056265118e-14      -3.828455128168e-13       0.000000000000e+00       3.378541692236e-11       3.895768270449e-12      -8.845433245269e-15 
   64       2.283701500081e-10       3.355419571283e-14      -4.301435735301e-13       0.000000000000e+00       3.257457326952e-11       3.776482497657e-12      -9.230329820829e-15 
   65       2.313846885411e-10       3.510287958592e-14      -4.792419134272e-13       0.000000000000e+00       3.142031979229e-11       3.663075629880e-12      -9.341823632775e-15 
   66       2.344004111041e-10       3.668632431756e-14      -5.301120330423e-13       0.000000000000e+00       3.031910595710e-11       3.552235462659e-12      -9.212206022640e-15 
   67       2.374345912183e-10       3.830289701695e-14      -5.827218542692e-13       0.000000000000e+00       2.926799704081e-11       3.444204947169e-12      -8.903333010361e-15 
   68       2.405139853427e-10       3.995076520998e-14      -6.370336755378e-13       0.000000000000e+00       2.826383220972e-11       3.340071909867e-12      -8.495976655958e-15 
   69       2.436371876851e-10       4.162922683097e-14      -6.929997846691e-13       0.000000000000e+00       2.730458075586e-11       3.240355215889e-12      -8.096535459721e-15 
