# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   69       2.438891352072e-10       4.181708481615e-14      -6.934604211964e-13       2.025141463802e-16       2.722576100522e-11       3.334715909230e-12      -8.096010654988e-15 
   70       2.470499780869e-10       4.353043777472e-14      -7.510133634190e-13       2.084371984905e-16       2.631259481944e-11       3.235876394401e-12      -7.827574602731e-15 
   71       2.502350869495e-10       4.527351220375e-14      -8.101108771857e-13       2.144462356975e-16       2.543864222119e-11       3.142158638546e-12      -7.798223878500e-15 
   72       2.534444933816e-10       4.704550766888e-14      -8.707340167527e-13       2.205416476111e-16       2.460225308715e-11       3.052676242894e-12      -8.005505492472e-15 
   73       2.566805850146e-10       4.884550302415e-14      -9.328729482761e-13       2.267238427573e-16       2.380155233774e-11       2.966133523064e-12      -8.413741946018e-15 
   74       2.599457841234e-10       5.067260927860e-14      -9.965236198442e-13       2.329932364322e-16       2.303426449316e-11       2.881508171979e-12      -8.973399295093e-15 
   75       2.632433490421e-10       5.252623532750e-14      -1.061705708181e-12       2.393501405039e-16       2.229898966110e-11       2.799597699628e-12      -9.594242044266e-15 
   76       2.665766898467e-10       5.440587139235e-14      -1.128448183329e-12       2.457948555176e-16       2.159410123963e-11       2.721748837413e-12      -1.016675820681e-14 
   77       2.699477417913e-10       5.631074670059e-14      -1.196756506936e-12       2.523276691468e-16       2.091767585519e-11       2.648933328440e-12      -1.059867240162e-14 
   78       2.733525506907e-10       5.823897975948e-14      -1.266523855251e-12       2.589487442483e-16       2.026856929740e-11       2.580246491203e-12      -1.090776506375e-14 
   79       2.767848651651e-10       6.018827682474e-14      -1.337604191051e-12       2.656582118099e-16       1.964548499424e-11       2.514141208828e-12      -1.114514492196e-14 
   80       2.802395957172e-10       6.215623141663e-14      -1.409865298792e-12       2.724561806223e-16       1.904688416517e-11       2.449274944233e-12      -1.134682081114e-14 
   81       2.837198053785e-10       6.414048564784e-14      -1.483275047266e-12       2.793426616139e-16       1.847178878697e-11       2.385812010040e-12      -1.146654667921e-14 
   82       2.872308650635e-10       6.613858986786e-14      -1.557829525865e-12       2.863176302961e-16       1.791908082799e-11       2.324335657868e-12      -1.143161365581e-14 
   83       2.907770029604e-10       6.814811596333e-14      -1.633508767407e-12       2.933810447972e-16       1.738745699928e-11       2.265354076630e-12      -1.120105001661e-14 
   84       2.943569577462e-10       7.016718241634e-14      -1.710217248424e-12       3.005328326420e-16       1.687610089198e-11       2.208964238605e-12      -1.088797023448e-14 
   85       2.979675936549e-10       7.219401225125e-14      -1.787833629173e-12       3.077729009254e-16       1.638409477586e-11       2.155132399168e-12      -1.065747883769e-14 
   86       3.016063064810e-10       7.422686466145e-14      -1.866261428120e-12       3.151011578728e-16       1.591037076498e-11       2.103711840472e-12      -1.063494440663e-14 
   87       3.052746071696e-10       7.626431942955e-14      -1.945534160169e-12       3.225175705231e-16       1.545423626577e-11       2.054182132212e-12      -1.072923851938e-14 
   88       3.089750793183e-10       7.830503858954e-14      -2.025726994057e-12       3.300221154903e-16       1.501491152833e-11       2.005865053703e-12      -1.078156550773e-14 
   89       3.127097191520e-10       8.034781745391e-14      -2.106903853340e-12       3.376147930637e-16       1.459149292106e-11       1.958231818969e-12      -1.066222816201e-14 
   90       3.164781029383e-10       8.239201503245e-14      -2.189048744613e-12       3.452957279590e-16       1.418336917404e-11       1.911638516076e-12      -1.041046010681e-14 
   91       3.202789215989e-10       8.443719384934e-14      -2.272124256584e-12       3.530650840332e-16       1.378985308772e-11       1.866701801886e-12      -1.011584345463e-14 
   92       3.241106874793e-10       8.648273024869e-14      -2.356081476669e-12       3.609230796490e-16       1.341017567638e-11       1.823913831406e-12      -9.855615577225e-15 
   93       3.279722634876e-10       8.852697970108e-14      -2.440825553354e-12       3.688701322261e-16       1.304389029276e-11       1.783122255563e-12      -9.628992198130e-15 
   94       3.318623896471e-10       9.056799020585e-14      -2.526244926873e-12       3.769067362249e-16       1.269051621477e-11       1.743972474535e-12      -9.413248674558e-15 
   95       3.357795082304e-10       9.260375465304e-14      -2.612221598743e-12       3.850334205165e-16       1.234940872902e-11       1.706063320534e-12      -9.183540318690e-15 
   96       3.397223186419e-10       9.463202320283e-14      -2.698635484881e-12       3.932507837961e-16       1.201987364447e-11       1.669040844566e-12      -8.920514943382e-15 
   97       3.436915587853e-10       9.664970997081e-14      -2.785378470907e-12       4.015596047968e-16       1.170154238307e-11       1.632898369578e-12      -8.634544219748e-15 
   98       3.476884640552e-10       9.865339868286e-14      -2.872342185547e-12       4.099607498788e-16       1.139404120331e-11       1.597717796411e-12      -8.344936966539e-15 
   99       3.517142205993e-10       1.006395194475e-13      -2.959413639268e-12       4.184551412565e-16       1.109687166474e-11       1.563578122934e-12      -8.072624747553e-15 
  100       3.557695606543e-10       1.026048992823e-13      -3.046493395582e-12       4.270437506544e-16       1.080949455725e-11       1.530541965233e-12      -7.835560517451e-15 
  101       3.598534922147e-10       1.045485078033e-13      -3.133553137348e-12       4.357275763765e-16       1.053160419583e-11       1.498613367017e-12      -7.634089419846e-15 
  102       3.639643830992e-10       1.064699523730e-13      -3.220586088652e-12       4.445076654865e-16       1.026288496957e-11       1.467773697817e-12      -7.463592793877e-15 
  103       3.681003372773e-10       1.083689503723e-13      -3.307589644657e-12       4.533851224272e-16       1.000292352669e-11       1.437994077431e-12      -7.318933762573e-15 
  104       3.722596348946e-10       1.102449660059e-13      -3.394548808657e-12       4.623610637224e-16       9.751276145306e-12       1.409224442420e-12      -7.194989993726e-15 
  105       3.764421386797e-10       1.120960566933e-13      -3.481383632898e-12       4.714364724348e-16       9.507688007113e-12       1.381359804954e-12      -7.088364079742e-15 
  106       3.806480622751e-10       1.139198771714e-13      -3.567994923576e-12       4.806123262740e-16       9.271897799133e-12       1.354268773038e-12      -6.995879197955e-15 
  107       3.848775348480e-10       1.157140323110e-13      -3.654280285674e-12       4.898896431055e-16       9.043567480427e-12       1.327803277700e-12      -6.914045104945e-15 
  108       3.891304212113e-10       1.174761776166e-13      -3.740141136359e-12       4.992694192427e-16       8.822335554289e-12       1.301844252181e-12      -6.839633874460e-15 
  109       3.934057635372e-10       1.192043361477e-13      -3.825504857384e-12       5.087524336080e-16       8.607989891061e-12       1.276446426251e-12      -6.771509553315e-15 
  110       3.977022596237e-10       1.208966226075e-13      -3.910305478049e-12       5.183394193106e-16       8.400313072632e-12       1.251711620018e-12      -6.709023030099e-15 
  111       4.020184270989e-10       1.225511470537e-13      -3.994476922909e-12       5.280311239011e-16       8.199026959040e-12       1.227744299215e-12      -6.651447604230e-15 
  112       4.063528898857e-10       1.241660833155e-13      -4.077953102900e-12       5.378282631438e-16       8.003833830592e-12       1.204609952006e-12      -6.597306727841e-15 
  113       4.107052903461e-10       1.257398823524e-13      -4.160668120815e-12       5.477313755244e-16       7.814549577485e-12       1.182204252374e-12      -6.542265549408e-15 
  114       4.150754820549e-10       1.272710873133e-13      -4.242556162539e-12       5.577409495370e-16       7.630983942090e-12       1.160367382751e-12      -6.480969142898e-15 
  115       4.194632453563e-10       1.287582697008e-13      -4.323551483836e-12       5.678574680314e-16       7.452897671124e-12       1.138923814759e-12      -6.407680727603e-15 
  116       4.238681507688e-10       1.302000043122e-13      -4.403586527840e-12       5.780814055254e-16       7.280040829161e-12       1.117731745378e-12      -6.318340889240e-15 
  117       4.282891362377e-10       1.315947875709e-13      -4.482585936062e-12       5.884132205069e-16       7.112276029894e-12       1.096839047391e-12      -6.217047204808e-15 
  118       4.327248730825e-10       1.329411118853e-13      -4.560471877707e-12       5.988533615461e-16       6.949467616787e-12       1.076345644812e-12      -6.110350335230e-15 
  119       4.371738913528e-10       1.342374924119e-13      -4.637165926343e-12       6.094022691949e-16       6.791442240667e-12       1.056355443114e-12      -6.005266694026e-15 
  120       4.416345758954e-10       1.354824682404e-13      -4.712589081183e-12       6.200603756221e-16       6.637987804828e-12       1.036976384711e-12      -5.909288341430e-15 
  121       4.461054113657e-10       1.366746371740e-13      -4.786663832725e-12       6.308281553372e-16       6.488887314644e-12       1.018295877830e-12      -5.828583014037e-15 
  122       4.505857580460e-10       1.378127621402e-13      -4.859320587416e-12       6.417062848432e-16       6.344027151675e-12       1.000303715756e-12      -5.762335104577e-15 
  123       4.550751595970e-10       1.388956794900e-13      -4.930492036432e-12       6.526955010186e-16       6.203299510001e-12       9.829602233320e-13      -5.707759717283e-15 
  124       4.595731003331e-10       1.399222679592e-13      -5.000111215979e-12       6.637965517487e-16       6.066567860234e-12       9.662199347607e-13      -5.661848619518e-15 
  125       4.640790033127e-10       1.408914501268e-13      -5.068111545191e-12       6.750101959764e-16       5.933666178358e-12       9.500314488990e-13      -5.621365423538e-15 
  126       4.685921228473e-10       1.418022042941e-13      -5.134425949523e-12       6.863372591276e-16       5.804424370097e-12       9.343344636842e-13      -5.583024718352e-15 
  127       4.731112124390e-10       1.426535985269e-13      -5.198984038970e-12       6.977788063199e-16       5.678749412732e-12       9.190508106370e-13      -5.544062460489e-15 
  128       4.776348157981e-10       1.434447632047e-13      -5.261714683206e-12       7.093359887795e-16       5.556551907011e-12       9.040921363586e-13      -5.501720804051e-15 
  129       4.821613664121e-10       1.441748824636e-13      -5.322546928456e-12       7.210099906703e-16       5.437720128685e-12       8.893624690351e-13      -5.453066482562e-15 
  130       4.866891848441e-10       1.448431957337e-13      -5.381410028542e-12       7.328020295595e-16       5.322119453794e-12       8.747580525743e-13      -5.394987370186e-15 
  131       4.912166670722e-10       1.454490135234e-13      -5.438234504488e-12       7.447133585709e-16       5.209611960292e-12       8.602037393842e-13      -5.325458107930e-15 
  132       4.957428782397e-10       1.459917634410e-13      -5.492955386913e-12       7.567452721193e-16       5.100118846632e-12       8.457669656127e-13      -5.247498860131e-15 
  133       5.002670182649e-10       1.464709520770e-13      -5.545509384414e-12       7.688991016805e-16       4.993563703540e-12       8.315558375860e-13      -5.165639894319e-15 
  134       5.047882351934e-10       1.468861528217e-13      -5.595833924231e-12       7.811762146321e-16       4.889852512046e-12       8.176837646164e-13      -5.084696194024e-15 
  135       5.093056238226e-10       1.472370075011e-13      -5.643867190430e-12       7.935780147323e-16       4.788873208784e-12       8.042695468419e-13      -5.009772826831e-15 
  136       5.138181916851e-10       1.475232388160e-13      -5.689548000817e-12       8.061058613045e-16       4.690512776142e-12       7.913997653963e-13      -4.944721106867e-15 
  137       5.183247559082e-10       1.477446856588e-13      -5.732815342337e-12       8.187608162754e-16       4.594711443873e-12       7.790113422192e-13      -4.887314086692e-15 
