# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09048 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.682135656617e-02       1.779370902076e+04 
       3.699226917427e-02       1.771473146559e+04 
       3.716431094421e-02       1.763558672698e+04 
       3.733751915655e-02       1.755667012874e+04 
       3.751193271611e-02       1.747764782852e+04 
       3.768759224488e-02       1.739864035672e+04 
       3.786454018152e-02       1.731971561519e+04 
       3.804282088820e-02       1.724085598914e+04 
       3.822248076527e-02       1.716198719575e+04 
       3.840356837458e-02       1.708313240020e+04 
       3.858613457221e-02       1.700439657114e+04 
       3.877023265145e-02       1.692559591602e+04 
       3.895591849692e-02       1.684681107662e+04 
       3.914325075110e-02       1.676805552536e+04 
       3.933229099418e-02       1.668921635325e+04 
       3.952310393882e-02       1.661055931373e+04 
       3.971575764102e-02       1.653178546361e+04 
       3.991032372898e-02       1.645303611996e+04 
       4.010687765158e-02       1.637438836990e+04 
       4.030549894872e-02       1.629562645560e+04 
       4.050627154557e-02       1.621675381326e+04 
       4.070928407370e-02       1.613797189154e+04 
       4.091463022152e-02       1.605929948696e+04 
       4.112240911779e-02       1.598034131459e+04 
       4.133272575164e-02       1.590140753871e+04 
       4.154569143332e-02       1.582249979973e+04 
       4.176142430069e-02       1.574338732594e+04 
       4.198004987663e-02       1.566424501730e+04 
       4.220170168375e-02       1.558516985027e+04 
       4.242652192350e-02       1.550582965435e+04 
       4.265466222772e-02       1.542650269706e+04 
       4.288628449213e-02       1.534699544716e+04 
       4.312156180236e-02       1.526733670278e+04 
       4.336067946516e-02       1.518739331714e+04 
       4.360383615896e-02       1.510761390583e+04 
       4.385124522071e-02       1.502740638628e+04 
       4.410313608827e-02       1.494714190377e+04 
       4.435975592124e-02       1.486659443062e+04 
       4.462137142674e-02       1.478578464776e+04 
       4.488827092140e-02       1.470476025199e+04 
       4.516076666663e-02       1.462346038940e+04 
       4.543919752046e-02       1.454180698713e+04 
       4.572393195816e-02       1.445981802803e+04 
       4.601537152294e-02       1.437750987668e+04 
       4.631395478081e-02       1.429483392605e+04 
       4.662016186813e-02       1.421167428423e+04 
       4.693451973854e-02       1.412808428319e+04 
       4.725760823866e-02       1.404394124918e+04 
       4.759006716951e-02       1.395918029527e+04 
       4.793260452540e-02       1.387393143400e+04 
       4.828600614513e-02       1.378809083674e+04 
       4.865114706497e-02       1.370122649444e+04 
       4.902900493065e-02       1.361391840590e+04 
       4.942067591281e-02       1.352556573439e+04 
       4.982739367933e-02       1.343576182696e+04 
       5.025055211782e-02       1.334531140716e+04 
       5.069173267919e-02       1.325406512788e+04 
       5.115273743947e-02       1.316075521830e+04 
       5.163562926597e-02       1.306667948133e+04 
       5.214278083896e-02       1.297065081210e+04 
       5.267693473986e-02       1.287278994492e+04 
       5.324127738574e-02       1.277239135688e+04 
       5.383953027337e-02       1.267032091488e+04 
       5.447606277880e-02       1.256456490946e+04 
       5.515603156362e-02       1.245673642080e+04 
       5.588555227554e-02       1.234393705002e+04 
       5.667190925590e-02       1.222760302163e+04 
       5.752380746137e-02       1.210530842071e+04 
       5.845166594463e-02       1.197649363666e+04 
       5.946794059176e-02       1.183938465258e+04 
       6.058743937388e-02       1.169222591067e+04 
       6.182754674334e-02       1.153218413187e+04 
       6.320819351487e-02       1.135499233878e+04 
       6.475129000871e-02       1.115679956446e+04 
       6.647921333471e-02       1.093074991229e+04 
       6.841192418840e-02       1.066940302670e+04 
       7.056263881095e-02       1.036612004357e+04 
       7.293295005129e-02       1.001420117521e+04 
       7.550958766983e-02       9.611514602450e+03 
       7.826529561964e-02       9.161411770714e+03 
       8.116429134099e-02       8.674948394604e+03 
       8.416970063695e-02       8.169110575529e+03 
       8.724940127978e-02       7.663403245499e+03 
       9.037859295730e-02       7.176854316837e+03 
       9.353968144889e-02       6.725734631510e+03 
       9.672087748011e-02       6.321626464372e+03 
       9.991457038550e-02       5.970413722263e+03 
       1.031159620842e-01       5.674058448606e+03 
       1.063220720663e-01       5.429044949949e+03 
       1.095310656302e-01       5.229454596572e+03 
       1.127418195913e-01       5.066701413443e+03 
       1.159536485741e-01       4.930728951569e+03 
       1.191661351083e-01       4.811311792721e+03 
       1.223790251180e-01       4.698667477117e+03 
       1.255921639865e-01       4.584358934403e+03 
       1.288054575722e-01       4.461809755654e+03 
       1.320188484854e-01       4.327039893027e+03 
       1.352323016683e-01       4.179127347850e+03 
       1.384457956357e-01       4.018933775480e+03 
       1.416593171564e-01       3.849564275493e+03 
       1.448728580233e-01       3.675875008627e+03 
       1.480864130919e-01       3.502989192818e+03 
       1.512999790896e-01       3.336011027270e+03 
       1.545135538912e-01       3.179302278267e+03 
       1.577271360783e-01       3.036319674047e+03 
       1.609407246719e-01       2.909292148353e+03 
       1.641543189677e-01       2.798969837338e+03 
       1.673679184370e-01       2.704953065812e+03 
       1.705815226646e-01       2.625668908024e+03 
       1.737951313110e-01       2.558864187546e+03 
       1.770087440891e-01       2.501601014330e+03 
       1.802223607487e-01       2.450789865123e+03 
       1.834359810676e-01       2.403513510941e+03 
       1.866496048454e-01       2.357194038121e+03 
       1.898632318987e-01       2.309081534426e+03 
       1.930768620589e-01       2.257416585750e+03 
       1.962904951700e-01       2.201156463137e+03 
       1.995041310870e-01       2.140422032220e+03 
       2.027177696743e-01       2.075858170078e+03 
       2.059314108057e-01       2.008644058577e+03 
       2.091450543625e-01       1.940565165781e+03 
       2.123587002337e-01       1.873128041075e+03 
       2.155723483149e-01       1.807998854911e+03 
       2.187859985079e-01       1.746401489433e+03 
       2.219996507203e-01       1.689251013754e+03 
       2.252133048651e-01       1.637201797511e+03 
       2.284269608601e-01       1.590429646931e+03 
       2.316406186277e-01       1.548888812787e+03 
       2.348542780947e-01       1.512104745107e+03 
       2.380679391918e-01       1.479533235459e+03 
       2.412816018534e-01       1.450232355160e+03 
       2.444952660174e-01       1.423189722427e+03 
       2.477089316251e-01       1.397490497637e+03 
       2.509225986205e-01       1.372121984408e+03 
       2.541362669506e-01       1.346420710957e+03 
       2.573499365653e-01       1.319914082022e+03 
       2.605636074166e-01       1.292303026144e+03 
       2.637772794591e-01       1.263554814561e+03 
       2.669909526495e-01       1.233814513715e+03 
       2.702046269466e-01       1.203332659497e+03 
       2.734183023111e-01       1.172544295452e+03 
       2.766319787057e-01       1.141944568356e+03 
       2.798456560947e-01       1.112024871176e+03 
       2.830593344439e-01       1.083257893137e+03 
       2.862730137210e-01       1.056045395638e+03 
       2.894866938947e-01       1.030604191821e+03 
       2.927003749355e-01       1.007054252923e+03 
       2.959140568148e-01       9.853737927938e+02 
       2.991277395056e-01       9.653994085515e+02 
       3.023414229818e-01       9.469064809027e+02 
       3.055551072185e-01       9.296377854754e+02 
       3.087687921919e-01       9.133129733170e+02 
       3.119824778790e-01       8.976073829808e+02 
       3.151961642580e-01       8.822909805080e+02 
       3.184098513077e-01       8.670933928742e+02 
       3.216235390079e-01       8.518308233721e+02 
       3.248372273394e-01       8.363796867012e+02 
       3.280509162833e-01       8.206919083642e+02 
       3.312646058219e-01       8.047773151540e+02 
       3.344782959378e-01       7.887920977259e+02 
       3.376919866146e-01       7.727806891943e+02 
       3.409056778362e-01       7.569614115494e+02 
       3.441193695874e-01       7.414466003090e+02 
       3.473330618534e-01       7.263631808237e+02 
       3.505467546199e-01       7.118099393462e+02 
       3.537604478733e-01       6.978653759226e+02 
       3.569741416004e-01       6.845837836457e+02 
       3.601878357884e-01       6.719894561273e+02 
       3.634015304250e-01       6.600621624843e+02 
       3.666152254983e-01       6.487511309647e+02 
       3.698289209971e-01       6.379743225132e+02 
       3.730426169101e-01       6.276198359400e+02 
       3.762563132268e-01       6.175928407974e+02 
       3.794700099368e-01       6.077932201227e+02 
       3.826837070303e-01       5.981457549695e+02 
       3.858974044975e-01       5.885975211111e+02 
       3.891111023292e-01       5.791206357216e+02 
       3.923248005163e-01       5.696851585954e+02 
       3.955384990503e-01       5.603048847669e+02 
       3.987521979226e-01       5.509749970571e+02 
       4.019658971252e-01       5.417149204939e+02 
       4.051795966501e-01       5.325617088328e+02 
       4.083932964896e-01       5.235557135201e+02 
       4.116069966365e-01       5.147388861272e+02 
       4.148206970835e-01       5.061523556778e+02 
       4.180343978237e-01       4.978194528613e+02 
       4.212480988503e-01       4.897516428523e+02 
       4.244618001568e-01       4.819512153487e+02 
       4.276755017369e-01       4.744039336592e+02 
       4.308892035844e-01       4.671063182020e+02 
       4.341029056934e-01       4.600351826267e+02 
       4.373166080581e-01       4.531851694012e+02 
       4.405303106729e-01       4.465188417260e+02 
       4.437440135322e-01       4.400424244327e+02 
       4.469577166309e-01       4.336834850454e+02 
       4.501714199638e-01       4.274538328588e+02 
       4.533851235258e-01       4.213109357217e+02 
       4.565988273122e-01       4.152454982036e+02 
       4.598125313182e-01       4.092477953498e+02 
       4.630262355391e-01       4.033186060054e+02 
       4.662399399707e-01       3.974654037985e+02 
       4.694536446084e-01       3.916925122181e+02 
       4.726673494482e-01       3.860066735161e+02 
       4.758810544858e-01       3.804122770608e+02 
       4.790947597174e-01       3.749161777934e+02 
       4.823084651389e-01       3.695318924058e+02 
       4.855221707467e-01       3.642661076069e+02 
       4.887358765369e-01       3.591306573452e+02 
       4.919495825062e-01       3.541279298773e+02 
       4.951632886509e-01       3.492602922312e+02 
       4.983769949676e-01       3.445204060167e+02 
       5.015907014530e-01       3.398957984520e+02 
       5.048044081040e-01       3.353751391338e+02 
       5.080181149173e-01       3.309542782571e+02 
       5.112318218898e-01       3.266047872871e+02 
       5.144455290187e-01       3.223469057398e+02 
       5.176592363009e-01       3.181553096946e+02 
       5.208729437336e-01       3.140204856610e+02 
       5.240866513140e-01       3.099555424788e+02 
       5.273003590395e-01       3.059454227854e+02 
       5.305140669074e-01       3.019877862361e+02 
       5.337277749150e-01       2.980837618501e+02 
       5.369414830599e-01       2.942465720784e+02 
       5.401551913397e-01       2.904632807994e+02 
       5.433688997519e-01       2.867485773258e+02 
       5.465826082942e-01       2.830973739265e+02 
       5.497963169642e-01       2.795221122890e+02 
       5.530100257599e-01       2.760150607656e+02 
       5.562237346789e-01       2.725741117410e+02 
       5.594374437191e-01       2.691975860867e+02 
       5.626511528786e-01       2.658854066870e+02 
       5.658648621551e-01       2.626381728497e+02 
       5.690785715468e-01       2.594557075873e+02 
       5.722922810517e-01       2.563332334202e+02 
       5.755059906678e-01       2.532682068350e+02 
       5.787197003934e-01       2.502537926463e+02 
       5.819334102266e-01       2.472866832619e+02 
       5.851471201657e-01       2.443648276957e+02 
       5.883608302088e-01       2.414858635725e+02 
       5.915745403544e-01       2.386522929606e+02 
       5.947882506007e-01       2.358629017185e+02 
       5.980019609460e-01       2.331169329732e+02 
       6.012156713889e-01       2.304126895670e+02 
       6.044293819277e-01       2.277477662569e+02 
       6.076430925610e-01       2.251215807424e+02 
       6.108568032872e-01       2.225331548182e+02 
       6.140705141049e-01       2.199846072571e+02 
