# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.76212 h/Mpc,
# number of wavenumbers equal to 572
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.061725768688e-02       2.099661729805e+04 
       3.076197498757e-02       2.091785441408e+04 
       3.090706302785e-02       2.083897070068e+04 
       3.105253109375e-02       2.076005539080e+04 
       3.119838874823e-02       2.068092682827e+04 
       3.134464584141e-02       2.060180963074e+04 
       3.149131252121e-02       2.052259527461e+04 
       3.163839924453e-02       2.044330309376e+04 
       3.178591678889e-02       2.036396465177e+04 
       3.193387626472e-02       2.028460250905e+04 
       3.208228912814e-02       2.020514572689e+04 
       3.223116719440e-02       2.012558244386e+04 
       3.238052265200e-02       2.004607332735e+04 
       3.253036807743e-02       1.996649266952e+04 
       3.268071645071e-02       1.988687438917e+04 
       3.283158117168e-02       1.980730165182e+04 
       3.298297607712e-02       1.972761401768e+04 
       3.313491545873e-02       1.964792804833e+04 
       3.328741408208e-02       1.956827315949e+04 
       3.344048720648e-02       1.948851578286e+04 
       3.359415060597e-02       1.940883842378e+04 
       3.374842059140e-02       1.932915980099e+04 
       3.390331403367e-02       1.924945993626e+04 
       3.405884838827e-02       1.916971761588e+04 
       3.421504172117e-02       1.909007227661e+04 
       3.437191273616e-02       1.901039577470e+04 
       3.452948080364e-02       1.893073194436e+04 
       3.468776599121e-02       1.885106328529e+04 
       3.484678909583e-02       1.877146218483e+04 
       3.500657167801e-02       1.869190980799e+04 
       3.516713609794e-02       1.861233630659e+04 
       3.532850555374e-02       1.853281355904e+04 
       3.549070412207e-02       1.845328734785e+04 
       3.565375680123e-02       1.837380247115e+04 
       3.581768955680e-02       1.829434394825e+04 
       3.598252937029e-02       1.821495280031e+04 
       3.614830429073e-02       1.813559131779e+04 
       3.631504348966e-02       1.805621994755e+04 
       3.648277731957e-02       1.797693668356e+04 
       3.665153737632e-02       1.789761976319e+04 
       3.682135656553e-02       1.781840580302e+04 
       3.699226917363e-02       1.773919660334e+04 
       3.716431094357e-02       1.766004674116e+04 
       3.733751915589e-02       1.758096050608e+04 
       3.751193271545e-02       1.750182948612e+04 
       3.768759224422e-02       1.742275834991e+04 
       3.786454018086e-02       1.734371324593e+04 
       3.804282088753e-02       1.726473387443e+04 
       3.822248076459e-02       1.718573744929e+04 
       3.840356837390e-02       1.710680718358e+04 
       3.858613457153e-02       1.702794545364e+04 
       3.877023265076e-02       1.694904184927e+04 
       3.895591849622e-02       1.687014385294e+04 
       3.914325075039e-02       1.679125091370e+04 
       3.933229099347e-02       1.671243341985e+04 
       3.952310393810e-02       1.663357548691e+04 
       3.971575764030e-02       1.655474345431e+04 
       3.991032372825e-02       1.647592596390e+04 
       4.010687765085e-02       1.639708460089e+04 
       4.030549894797e-02       1.631820008360e+04 
       4.050627154482e-02       1.623930460634e+04 
       4.070928407293e-02       1.616042059501e+04 
       4.091463022074e-02       1.608153380444e+04 
       4.112240911701e-02       1.600256778209e+04 
       4.133272575084e-02       1.592349679171e+04 
       4.154569143252e-02       1.584447713957e+04 
       4.176142429988e-02       1.576532047269e+04 
       4.198004987580e-02       1.568608821353e+04 
       4.220170168291e-02       1.560680474104e+04 
       4.242652192265e-02       1.552744139904e+04 
       4.265466222686e-02       1.544794722722e+04 
       4.288628449125e-02       1.536833407773e+04 
       4.312156180147e-02       1.528859090758e+04 
       4.336067946426e-02       1.520868898146e+04 
       4.360383615804e-02       1.512864614843e+04 
       4.385124521978e-02       1.504841692391e+04 
       4.410313608732e-02       1.496798854020e+04 
       4.435975592028e-02       1.488737343850e+04 
       4.462137142575e-02       1.480649534131e+04 
       4.488827092040e-02       1.472534513118e+04 
       4.516076666560e-02       1.464393744415e+04 
       4.543919751941e-02       1.456221675596e+04 
       4.572393195709e-02       1.448014120122e+04 
       4.601537152183e-02       1.439772291247e+04 
       4.631395477968e-02       1.431489766235e+04 
       4.662016186697e-02       1.423163821065e+04 
       4.693451973735e-02       1.414793460799e+04 
       4.725760823744e-02       1.406365975081e+04 
       4.759006716825e-02       1.397885770895e+04 
       4.793260452409e-02       1.389343782569e+04 
       4.828600614379e-02       1.380734817971e+04 
       4.865114706358e-02       1.372051793535e+04 
       4.902900492921e-02       1.363290473922e+04 
       4.942067591132e-02       1.354438674692e+04 
       4.982739367778e-02       1.345490627738e+04 
       5.025055211621e-02       1.336435533890e+04 
       5.069173267750e-02       1.327262289959e+04 
       5.115273743770e-02       1.317955264780e+04 
       5.163562926413e-02       1.308501034254e+04 
       5.214278083701e-02       1.298884186899e+04 
       5.267693473781e-02       1.289078514402e+04 
       5.324127738357e-02       1.279063015229e+04 
       5.383953027107e-02       1.268805974505e+04 
       5.447606277634e-02       1.258270561937e+04 
       5.515603156099e-02       1.247410345297e+04 
       5.588555227272e-02       1.236170514796e+04 
       5.667190925284e-02       1.224484382311e+04 
       5.752380745805e-02       1.212242649063e+04 
       5.845166594101e-02       1.199344812649e+04 
       5.946794058777e-02       1.185627471210e+04 
       6.058743936948e-02       1.170882403867e+04 
       6.182754673845e-02       1.154834343528e+04 
       6.320819350942e-02       1.137111948655e+04 
       6.475129000261e-02       1.117235589775e+04 
       6.647921332788e-02       1.094593598458e+04 
       6.841192418078e-02       1.068462819109e+04 
       7.056263880250e-02       1.038088427198e+04 
       7.293295004204e-02       1.002848346023e+04 
       7.550958765985e-02       9.625040631375e+03 
       7.826529560905e-02       9.174350876953e+03 
       8.116429132993e-02       8.687328506861e+03 
       8.416970062556e-02       8.180731060572e+03 
       8.724940126816e-02       7.674219671953e+03 
       9.037859294554e-02       7.187023493982e+03 
       9.353968143703e-02       6.735297731458e+03 
       9.672087746819e-02       6.330512475439e+03 
       9.991457037355e-02       5.978942920626e+03 
       1.031159620723e-01       5.682002595978e+03 
       1.063220720543e-01       5.436700489973e+03 
       1.095310656182e-01       5.236820644289e+03 
       1.127418195793e-01       5.073795267716e+03 
       1.159536485621e-01       4.937689308140e+03 
       1.191661350962e-01       4.818169839510e+03 
       1.223790251060e-01       4.705384942243e+03 
       1.255921639745e-01       4.590865131729e+03 
       1.288054575602e-01       4.468148240530e+03 
       1.320188484734e-01       4.333296001997e+03 
       1.352323016563e-01       4.185021702797e+03 
       1.384457956237e-01       4.024535207778e+03 
       1.416593171444e-01       3.855047323488e+03 
       1.448728580113e-01       3.681131980211e+03 
       1.480253419385e-01       3.511228532744e+03 
       1.480864130799e-01       3.507978155036e+03 
       1.512999790776e-01       3.340705722542e+03 
       1.545135538792e-01       3.183783680300e+03 
       1.577271360663e-01       3.040638415539e+03 
       1.609407246599e-01       2.913414066104e+03 
       1.641543189557e-01       2.802927629432e+03 
       1.673679184250e-01       2.708755937342e+03 
       1.705815226526e-01       2.629383371400e+03 
       1.737951312990e-01       2.562478999998e+03 
       1.770087440770e-01       2.505153607567e+03 
       1.802223607367e-01       2.454272313711e+03 
       1.834359810556e-01       2.406894661095e+03 
       1.866496048334e-01       2.360527278643e+03 
